Date,Country,Segment,Driver,SHAP_Value_monthly_USD
202607,US,Defense,ADEFNO_lag_3,28709441.42
202607,US,Defense,ADEFNO_lag_6,-103967328.87
202607,US,Defense,ADEFNO_lag_9,13168377.18
202607,US,Defense,ADEFNO_lag_12,-640393.55
202607,US,Defense,ADEFNO_lag_18,4126636.31
202607,US,Defense,ADEFNO_lag_24,-1243960.11
202607,US,Defense,ADEFNO_diff_lag_1,-9300579.01
202607,US,Defense,ADEFNO_diff_lag_3,-2521544.54
202607,US,Defense,IPB52300S_diff_lag_1,-6515361.99
202607,US,Defense,IPB52300S_diff_lag_2,15389380.36
202607,US,Defense,IPB52300S_diff_lag_3,792337.89
202607,US,Defense,IPB52300S_diff_lag_4,2283344.05
202607,US,Defense,IPB52300S_diff_lag_5,6726170.58
202607,US,Defense,IPB52300S_diff_lag_6,9093743.44
202607,US,Defense,fdefx_lag_1,3464239438.37
202607,US,Defense,fdefx_lag_2,2265208562.22
202607,US,Defense,fdefx_lag_3,4299607594.81
202607,US,Defense,fdefx_lag_4,32522986.33
202607,US,Defense,fdefx_lag_5,66756074.63
202607,US,Defense,fdefx_lag_6,1174126704.53
202607,US,Defense,fdefx_rolling_3m_mean,1440306822.46
202607,US,Defense,fdefx_rolling_6m_mean,410136381.79
202607,US,Defense,fdefx_rolling_12m_mean,198804179.83
202607,US,Defense,month,-33069411.91
202607,US,Defense,quarter,-28578708.57
202607,US,Defense,is_q4,17134.47
202607,US,Defense,base_value,61127024332.68
202607,US,Defense,prediction,74821421305.34
202608,US,Defense,ADEFNO,7929664.11
202608,US,Defense,ADEFNO_diff,-7011113.07
202608,US,Defense,IPB52300S,464365720.75
202608,US,Defense,IPB52300S_diff,-5466268.71
202608,US,Defense,FDEFX_diff,-24878849.59
202608,US,Defense,ADEFNO_lag_1,12914167.1
202608,US,Defense,ADEFNO_lag_3,28709441.42
202608,US,Defense,ADEFNO_lag_6,-103967328.87
202608,US,Defense,ADEFNO_lag_9,13120910.77
202608,US,Defense,ADEFNO_lag_12,-640393.55
202608,US,Defense,ADEFNO_lag_18,4089446.74
202608,US,Defense,ADEFNO_lag_24,-1185337.08
202608,US,Defense,ADEFNO_diff_lag_1,-9300579.01
202608,US,Defense,ADEFNO_diff_lag_3,-2521544.54
202608,US,Defense,IPB52300S_diff_lag_1,-6120913.97
202608,US,Defense,IPB52300S_diff_lag_2,16544340.8
202608,US,Defense,IPB52300S_diff_lag_3,792337.89
202608,US,Defense,IPB52300S_diff_lag_4,1738298.68
202608,US,Defense,IPB52300S_diff_lag_5,6988534.7
202608,US,Defense,IPB52300S_diff_lag_6,9093743.44
202608,US,Defense,fdefx_lag_1,3464239438.37
202608,US,Defense,fdefx_lag_2,2265208562.22
202608,US,Defense,fdefx_lag_3,4299902598.06
202608,US,Defense,fdefx_lag_4,32522986.33
202608,US,Defense,fdefx_lag_5,66728338.6
202608,US,Defense,fdefx_lag_6,1174126704.53
202608,US,Defense,fdefx_rolling_3m_mean,1437051137.29
202608,US,Defense,fdefx_rolling_6m_mean,410136381.79
202608,US,Defense,fdefx_rolling_12m_mean,198804179.83
202608,US,Defense,month,-28027243.91
202608,US,Defense,quarter,-28578708.57
202608,US,Defense,is_q4,17134.47
202608,US,Defense,base_value,61127024332.68
202608,US,Defense,prediction,74824310302.73
202609,US,Defense,ADEFNO,6923572.47
202609,US,Defense,ADEFNO_diff,-6455256.91
202609,US,Defense,IPB52300S,464351137.48
202609,US,Defense,IPB52300S_diff,-6025938.94
202609,US,Defense,FDEFX_diff,-25340547.16
202609,US,Defense,ADEFNO_lag_1,12201792.25
202609,US,Defense,ADEFNO_lag_3,29780055.09
202609,US,Defense,ADEFNO_lag_6,-110100448.13
202609,US,Defense,ADEFNO_lag_9,13120910.77
202609,US,Defense,ADEFNO_lag_12,-640393.55
202609,US,Defense,ADEFNO_lag_18,7059393.45
202609,US,Defense,ADEFNO_lag_24,-1788686.65
202609,US,Defense,ADEFNO_diff_lag_1,-9353470.06
202609,US,Defense,ADEFNO_diff_lag_3,-2504195.24
202609,US,Defense,IPB52300S_diff_lag_1,-7408820.71
202609,US,Defense,IPB52300S_diff_lag_2,16544340.8
202609,US,Defense,IPB52300S_diff_lag_3,599304.1
202609,US,Defense,IPB52300S_diff_lag_4,1743512.23
202609,US,Defense,IPB52300S_diff_lag_5,6988534.7
202609,US,Defense,IPB52300S_diff_lag_6,9070842.22
202609,US,Defense,fdefx_lag_1,3464468002.32
202609,US,Defense,fdefx_lag_2,2265389601.39
202609,US,Defense,fdefx_lag_3,4306252161.66
202609,US,Defense,fdefx_lag_4,32522986.33
202609,US,Defense,fdefx_lag_5,68020050.72
202609,US,Defense,fdefx_lag_6,1173917134.6
202609,US,Defense,fdefx_rolling_3m_mean,1440501848.86
202609,US,Defense,fdefx_rolling_6m_mean,410136381.79
202609,US,Defense,fdefx_rolling_12m_mean,198804179.83
202609,US,Defense,month,-30550690.99
202609,US,Defense,quarter,-28578708.57
202609,US,Defense,is_q4,17134.47
202609,US,Defense,base_value,61127024332.68
202609,US,Defense,prediction,74826649983.72
202610,US,Defense,ADEFNO,9682965.15
202610,US,Defense,ADEFNO_diff,-6976092.86
202610,US,Defense,IPB52300S,460789799.69
202610,US,Defense,IPB52300S_diff,-8554130.79
202610,US,Defense,FDEFX_diff,-25379012.03
202610,US,Defense,ADEFNO_lag_1,12575904.53
202610,US,Defense,ADEFNO_lag_3,33192763.73
202610,US,Defense,ADEFNO_lag_6,-98084847.13
202610,US,Defense,ADEFNO_lag_9,13120910.77
202610,US,Defense,ADEFNO_lag_12,340684.55
202610,US,Defense,ADEFNO_lag_18,3422292.26
202610,US,Defense,ADEFNO_lag_24,-2075738.58
202610,US,Defense,ADEFNO_diff_lag_1,-8247777.82
202610,US,Defense,ADEFNO_diff_lag_3,-2563621.69
202610,US,Defense,IPB52300S_diff_lag_1,-7357458.27
202610,US,Defense,IPB52300S_diff_lag_2,16544340.8
202610,US,Defense,IPB52300S_diff_lag_3,484262.55
202610,US,Defense,IPB52300S_diff_lag_4,1281780.89
202610,US,Defense,IPB52300S_diff_lag_5,6892651.94
202610,US,Defense,IPB52300S_diff_lag_6,8935197.57
202610,US,Defense,fdefx_lag_1,3509293874.1
202610,US,Defense,fdefx_lag_2,2279919624.33
202610,US,Defense,fdefx_lag_3,4358875910.44
202610,US,Defense,fdefx_lag_4,31579613.69
202610,US,Defense,fdefx_lag_5,68617671.73
202610,US,Defense,fdefx_lag_6,1191894769.67
202610,US,Defense,fdefx_rolling_3m_mean,1480044523.87
202610,US,Defense,fdefx_rolling_6m_mean,419033050.54
202610,US,Defense,fdefx_rolling_12m_mean,198804179.83
202610,US,Defense,month,77589953.94
202610,US,Defense,quarter,41715373.6
202610,US,Defense,is_q4,-25701.7
202610,US,Defense,base_value,61127024332.68
202610,US,Defense,prediction,75192316691.08
202611,US,Defense,ADEFNO,9682965.15
202611,US,Defense,ADEFNO_diff,-7223104.44
202611,US,Defense,IPB52300S,460789799.69
202611,US,Defense,IPB52300S_diff,-8554130.79
202611,US,Defense,FDEFX_diff,-25379012.03
202611,US,Defense,ADEFNO_lag_1,12575904.53
202611,US,Defense,ADEFNO_lag_3,33192763.73
202611,US,Defense,ADEFNO_lag_6,-98084847.13
202611,US,Defense,ADEFNO_lag_9,13120910.77
202611,US,Defense,ADEFNO_lag_12,340684.55
202611,US,Defense,ADEFNO_lag_18,2250098.16
202611,US,Defense,ADEFNO_lag_24,-2075738.58
202611,US,Defense,ADEFNO_diff_lag_1,-8247777.82
202611,US,Defense,ADEFNO_diff_lag_3,-2563621.69
202611,US,Defense,IPB52300S_diff_lag_1,-7357458.27
202611,US,Defense,IPB52300S_diff_lag_2,16544340.8
202611,US,Defense,IPB52300S_diff_lag_3,484262.55
202611,US,Defense,IPB52300S_diff_lag_4,1281780.89
202611,US,Defense,IPB52300S_diff_lag_5,6848948.7
202611,US,Defense,IPB52300S_diff_lag_6,8935197.57
202611,US,Defense,fdefx_lag_1,3509293874.1
202611,US,Defense,fdefx_lag_2,2279919624.33
202611,US,Defense,fdefx_lag_3,4357900937.4
202611,US,Defense,fdefx_lag_4,31579613.69
202611,US,Defense,fdefx_lag_5,68617671.73
202611,US,Defense,fdefx_lag_6,1191894769.67
202611,US,Defense,fdefx_rolling_3m_mean,1480044523.87
202611,US,Defense,fdefx_rolling_6m_mean,419033050.54
202611,US,Defense,fdefx_rolling_12m_mean,198804179.83
202611,US,Defense,month,77589953.94
202611,US,Defense,quarter,41715373.6
202611,US,Defense,is_q4,-25701.7
202611,US,Defense,base_value,61127024332.68
202611,US,Defense,prediction,75189880371.09
202612,US,Defense,ADEFNO,9682965.15
202612,US,Defense,ADEFNO_diff,-7223104.44
202612,US,Defense,IPB52300S,460789799.69
202612,US,Defense,IPB52300S_diff,-8554130.79
202612,US,Defense,FDEFX_diff,-25379012.03
202612,US,Defense,ADEFNO_lag_1,12575904.53
202612,US,Defense,ADEFNO_lag_3,33192763.73
202612,US,Defense,ADEFNO_lag_6,-98084847.13
202612,US,Defense,ADEFNO_lag_9,13120910.77
202612,US,Defense,ADEFNO_lag_12,340684.55
202612,US,Defense,ADEFNO_lag_18,2250098.16
202612,US,Defense,ADEFNO_lag_24,-2075738.58
202612,US,Defense,ADEFNO_diff_lag_1,-8247777.82
202612,US,Defense,ADEFNO_diff_lag_3,-2563621.69
202612,US,Defense,IPB52300S_diff_lag_1,-7357458.27
202612,US,Defense,IPB52300S_diff_lag_2,16544340.8
202612,US,Defense,IPB52300S_diff_lag_3,484262.55
202612,US,Defense,IPB52300S_diff_lag_4,1281780.89
202612,US,Defense,IPB52300S_diff_lag_5,6848948.7
202612,US,Defense,IPB52300S_diff_lag_6,8935197.57
202612,US,Defense,fdefx_lag_1,3509293874.1
202612,US,Defense,fdefx_lag_2,2279919624.33
202612,US,Defense,fdefx_lag_3,4357900937.4
202612,US,Defense,fdefx_lag_4,31579613.69
202612,US,Defense,fdefx_lag_5,68617671.73
202612,US,Defense,fdefx_lag_6,1191894769.67
202612,US,Defense,fdefx_rolling_3m_mean,1480044523.87
202612,US,Defense,fdefx_rolling_6m_mean,419033050.54
202612,US,Defense,fdefx_rolling_12m_mean,198804179.83
202612,US,Defense,month,77589953.94
202612,US,Defense,quarter,41715373.6
202612,US,Defense,is_q4,-25701.7
202612,US,Defense,base_value,61127024332.68
202612,US,Defense,prediction,75189880371.09
999912,US,Defense,Defense_Spending_Level_AVG,13559730450.52
999912,US,Defense,Defense_Spending_Momentum_AVG,-25195102.10
999912,US,Defense,Defense_Order_Pipeline_AVG,-20211796.22
999912,US,Defense,Industrial_Output_AVG,474161723.27
999912,US,Defense,Seasonality_AVG,-20570351.92
999912,US,Defense,base_value_AVG,61127024332.68
999912,US,Defense,prediction_AVG,75094896104.60
