date,ADEFNO,ADEFNO_diff,IPB52300S,IPB52300S_diff,FDEFX,FDEFX_diff
2024-09,16923,2153.0,108.0574,-0.07349999999999568,1104.161,0.0
2024-10,17087,164.0,109.1592,1.1017999999999972,1122.731,18.569999999999936
2024-11,14120,-2967.0,108.0844,-1.0747999999999962,1122.731,0.0
2024-12,14725,605.0,109.4069,1.322499999999991,1122.731,0.0
2025-01,12820,-1905.0,109.4798,0.07290000000000418,1116.611,-6.119999999999891
2025-02,12735,-85.0,110.2092,0.7293999999999983,1116.611,0.0
2025-03,10823,-1912.0,110.5744,0.3652000000000015,1116.611,0.0
2025-04,13719,2896.0,109.08,-1.4943999999999988,1135.765,19.153999999999996
2025-05,19355,5636.0,108.6648,-0.4151999999999987,1135.765,0.0
2025-06,17229,-2126.0,109.9333,1.268500000000003,1135.765,0.0
2025-07,15263,-1966.0,112.851,2.9176999999999964,1161.912,26.146999999999935
2025-08,16013,750.0,111.732,-1.1189999999999998,1161.912,0.0
2025-09,19906,3893.0,111.3785,-0.3534999999999968,1161.912,0.0
2025-10,17282,-2624.0,112.9868,1.6082999999999998,1159.184,-2.7280000000000655
2025-11,15435,-1847.0,111.7578,-1.2289999999999992,1159.184,0.0
2025-12,18774,3339.0,112.9629,1.2051000000000016,1159.184,0.0
