date,Product,net_value_usd,de_orders_index_lag_1,de_orders_index_lag_2,de_orders_index_lag_3,de_orders_index_lag_4,de_orders_index_lag_5,de_orders_index_lag_6,de_production_index_diff_lag_1,de_production_index_diff_lag_2,de_production_index_diff_lag_3,de_production_index_diff_lag_4,de_production_index_diff_lag_5,de_production_index_diff_lag_6,us_durable_goods_orders_musd_diff_lag_1,us_durable_goods_orders_musd_diff_lag_2,us_durable_goods_orders_musd_diff_lag_3,us_durable_goods_orders_musd_diff_lag_4,us_durable_goods_orders_musd_diff_lag_5,us_durable_goods_orders_musd_diff_lag_6,us_production_index_diff_lag_1,us_production_index_diff_lag_2,us_production_index_diff_lag_3,us_production_index_diff_lag_4,us_production_index_diff_lag_5,us_production_index_diff_lag_6,month,quarter,year,is_q4,revenue_lag_1,revenue_lag_2,revenue_lag_3,revenue_rolling_3m_mean,revenue_rolling_3m_std,revenue_rolling_6m_mean,revenue_rolling_6m_std
2024-12-01,Accessories,4783.65,81.6,78.8,84.0,79.6,88.7,87.5,0.8999999999999915,-0.3999999999999915,-1.6000000000000085,2.0,-2.0999999999999943,1.5,-4926.0,797.0,2543.0,-3308.0,12106.0,-5701.0,-0.1769999999999925,-0.3389000000000095,-0.6224999999999881,0.4551999999999907,-0.9183000000000021,0.03100000000000591,12,4,2024,1,314.76,-279.45,2831.06,955.4566666666666,1651.2683849190762,-1712.07,4009.7987667811894
2025-01-01,Accessories,-1015.85,93.3,81.6,78.8,84.0,79.6,88.7,-0.8999999999999915,0.8999999999999915,-0.3999999999999915,-1.6000000000000085,2.0,-2.0999999999999943,2219.0,-4926.0,797.0,2543.0,-3308.0,12106.0,1.03479999999999,-0.1769999999999925,-0.3389000000000095,-0.6224999999999881,0.4551999999999907,-0.9183000000000021,1,1,2025,0,4783.65,314.76,-279.45,1606.3199999999997,2767.6417448253524,550.2216666666667,2890.6926117276125
2025-02-01,Accessories,3181.55,81.6,93.3,81.6,78.8,84.0,79.6,0.8999999999999915,-0.8999999999999915,0.8999999999999915,-0.3999999999999915,-1.6000000000000085,2.0,636.0,2219.0,-4926.0,797.0,2543.0,-3308.0,-0.26259999999999195,1.03479999999999,-0.1769999999999925,-0.3389000000000095,-0.6224999999999881,0.4551999999999907,2,1,2025,0,-1015.85,4783.65,314.76,1360.853333333333,3037.9735859670104,536.945,2899.0557800963297
2025-03-01,Accessories,-3421.35,80.8,81.6,93.3,81.6,78.8,84.0,-1.0,0.8999999999999915,-0.8999999999999915,0.8999999999999915,-0.3999999999999915,-1.6000000000000085,2790.0,636.0,2219.0,-4926.0,797.0,2543.0,1.0345999999999975,-0.26259999999999195,1.03479999999999,-0.1769999999999925,-0.3389000000000095,-0.6224999999999881,3,1,2025,0,3181.55,-1015.85,4783.65,2316.45,2994.970545765004,1635.9533333333336,2287.8603968832113
2025-04-01,Accessories,1314.66,82.5,80.8,81.6,93.3,81.6,78.8,2.200000000000003,-1.0,0.8999999999999915,-0.8999999999999915,0.8999999999999915,-0.3999999999999915,22230.0,2790.0,636.0,2219.0,-4926.0,797.0,-0.05889999999999418,1.0345999999999975,-0.26259999999999195,1.03479999999999,-0.1769999999999925,-0.3389000000000095,4,2,2025,0,-3421.35,3181.55,-1015.85,-418.55,3341.728231020578,593.8850000000001,2959.869070440438
2025-05-01,Accessories,5656.2,84.3,82.5,80.8,81.6,93.3,81.6,-1.5999999999999943,2.200000000000003,-1.0,0.8999999999999915,-0.8999999999999915,0.8999999999999915,-20986.0,22230.0,2790.0,636.0,2219.0,-4926.0,0.08749999999999147,-0.05889999999999418,1.0345999999999975,-0.26259999999999195,1.03479999999999,-0.1769999999999925,5,2,2025,0,1314.66,-3421.35,3181.55,358.2866666666667,3403.756684463984,859.57,2937.2570889794342
2025-06-01,Accessories,1421.67,78.4,84.3,82.5,80.8,81.6,93.3,-0.10000000000000853,-1.5999999999999943,2.200000000000003,-1.0,0.8999999999999915,-0.8999999999999915,48840.0,-20986.0,22230.0,2790.0,636.0,2219.0,-0.162399999999991,0.08749999999999147,-0.05889999999999418,1.0345999999999975,-0.26259999999999195,1.03479999999999,6,2,2025,0,5656.2,1314.66,-3421.35,1183.1699999999998,4540.203268103744,1749.8100000000002,3495.513521902031
2025-07-01,Accessories,-6734.34,80.2,78.4,84.3,82.5,80.8,81.6,-0.09999999999999432,-0.10000000000000853,-1.5999999999999943,2.200000000000003,-1.0,0.8999999999999915,-32308.0,48840.0,-20986.0,22230.0,2790.0,636.0,0.512999999999991,-0.162399999999991,0.08749999999999147,-0.05889999999999418,1.0345999999999975,-0.26259999999999195,7,3,2025,0,1421.67,5656.2,1314.66,2797.5099999999998,2476.2762713598668,1189.48,3165.841005786605
2025-08-01,Accessories,3647.47,79.0,80.2,78.4,84.3,82.5,80.8,1.0,-0.09999999999999432,-0.10000000000000853,-1.5999999999999943,2.200000000000003,-1.0,-8729.0,-32308.0,48840.0,-20986.0,22230.0,2790.0,0.41550000000000864,0.512999999999991,-0.162399999999991,0.08749999999999147,-0.05889999999999418,1.0345999999999975,8,3,2025,0,-6734.34,1421.67,5656.2,114.50999999999992,6297.846522590077,236.3983333333334,4529.591623382466
2025-09-01,Accessories,16100.52,82.5,79.0,80.2,78.4,84.3,82.5,-2.5999999999999943,1.0,-0.09999999999999432,-0.10000000000000853,-1.5999999999999943,2.200000000000003,9106.0,-8729.0,-32308.0,48840.0,-20986.0,22230.0,-0.2693000000000012,0.41550000000000864,0.512999999999991,-0.162399999999991,0.08749999999999147,-0.05889999999999418,9,3,2025,0,3647.47,-6734.34,1421.67,-555.0666666666667,5465.904372199834,314.05166666666656,4593.719902377224
